BIANA ID	UniProt ID	genesymbol	description	geneid	Equivalent Entries
242144	O95925	EPPIN	Eppin	57119; 100526773	Q9HD30; Q96SD7; Q86TP9; A6PVD6; KEGG::57119; KEGG::100526773
597211	Q9Y4P8	WIPI2	WD repeat domain phosphoinositide-interacting protein 2	26100	B3KNC2; Q96IE4; Q75L50; Q5MNZ8; Q6FI96; Q9Y364; KEGG::26100
582589	Q3LFD5	USP41	Putative ubiquitin carboxyl-terminal hydrolase 41	-	Q70BM7; A8MXD0
195807	Q8N129	CNPY4	Protein canopy homolog 4	245812	Q8WUN9; KEGG::245812
532446	Q6ZMV5	SMEK3P	Putative SMEK homolog 3	-	Q96M31
532442	Q9NPB0	SAYSD1	SAYSvFN domain-containing protein 1	55776	Q9H0D8; KEGG::55776
374922	Q9HB63	NTN4	Netrin-4	59277	Q658K9; Q7Z5B6; Q7L3F1; Q9P133; B2RNC2; Q9BZP1; Q9NT44; Q7L9D6; KEGG::59277
374921	O00634	NTN3	Netrin-3	4917	KEGG::4917
306441	Q9BYH8	NFKBIZ	NF-kappa-B inhibitor zeta	64332	B3KNR2; Q8NAZ8; Q8IUL4; D3DN54; KEGG::64332
107890	Q9Y3Z3	SAMHD1	SAM domain and HD domain-containing protein 1	25939	Q9H004; Q8N491; Q9H005; Q59H15; Q9H3U9; E1P5V2; B4E2A5; Q5JXG8; KEGG::25939
107897	O95625	ZBTB11	Zinc finger and BTB domain-containing protein 11	27107	O95625,Q5; Q2NKP9; Q59H97; KEGG::27107
107895	Q9UQQ2	SH2B3	SH2B adapter protein 3	10019	O95184; Q9UQQ2,Q5; Q59H48; B9EGG5; KEGG::10019
306444	Q70UQ0	IKBIP	Inhibitor of nuclear factor kappa-B kinase-interacting protein	121457	Q6ZWH4; Q96ND2; Q70UP9; Q86V91; KEGG::121457
464595	P62829	RPL23	60S ribosomal protein L23	9349	Q3SWV7; P24048; Q29246; Q6P5S1; P23131; KEGG::9349
567309	P20333	TNFRSF1B	Tumor necrosis factor receptor superfamily member 1B; Tumor necrosis factor receptor superfamily member 1b, membrane form; Tumor necrosis factor-binding protein 2	7133	Q16042; Q9UIH1; B1AJZ3; Q6YI29; KEGG::7133
567301	Q02223	TNFRSF17	Tumor necrosis factor receptor superfamily member 17	608	KEGG::608
567303	Q9Y5U5	TNFRSF18	Tumor necrosis factor receptor superfamily member 18	8784	Q5U0I4; O95851; Q9Y5U5,B1; B1AME1; B1AME3; Q9NYJ9; KEGG::8784
567304	Q9NS68	TNFRSF19	Tumor necrosis factor receptor superfamily member 19	55504	Q9BXZ9; B1AM40; B4E2I6; Q9NZV2; B1AM41; Q9BY00; KEGG::55504
355069	P26038	MSN	Moesin	4478	KEGG::4478
206357	Q0VAR9	CTBP1-AS1	Putative uncharacterized protein CTBP1-AS1	-	Q2NKY2; Q6ZUE2
206354	O75638	CTAG2	Cancer/testis antigen 2	30848	Q0VIL6; Q14CD6; O75637; Q9BU80; Q2Z1N4; Q9Y479; Q9UJ89; KEGG::30848
250382	Q9UKA1	FBXL5	F-box/LRR-repeat protein 5	26234	Q9P0I0; Q4W5A8; Q9P0X5; A8MSK4; Q9UKC8; B4DIB5; Q8NHP3; Q9UJT7; Q9NXN2; KEGG::26234
250388	Q8N531	FBXL6	F-box/LRR-repeat protein 6	26233	Q9H5W9; Q53G43; Q9UKC7; KEGG::26233
534845	Q8IY81	FTSJ3	pre-rRNA processing protein FTSJ3	117246	Q8N3A3; D3DU22; Q9NXT6; Q8WXX1; B2RCA5; Q9BWM4; KEGG::117246
171071	Q8NHY0	B4GALNT2	Beta-1,4 N-acetylgalactosaminyltransferase 2	124872	B4DZE4; Q14CP1; Q86Y40; KEGG::124872
108251	P36897	TGFBR1	TGF-beta receptor type-1	7046	Q5T7S2; Q5T7S2,P3; Q6IR47; Q706C1; Q706C0; KEGG::7046
171078	O60909	B4GALT2	Beta-1,4-galactosyltransferase 2; Lactose synthase A protein; N-acetyllactosamine synthase; Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase; Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase	8704	Q9NSY7; D3DPY6; D3DPY7; B4DE14; Q4V9L9; Q5T4X5; O60511; Q5T4Y5; B3KTP0; Q9BUP6; KEGG::8704
239075	P08246	ELANE	Neutrophil elastase	1991	Q6LDP5; Q6B0D9; P09649; KEGG::1991
408296	Q8NFJ6	PROKR2	Prokineticin receptor 2	128674	A5JUU1; Q9NTT0; Q5TDY1; Q2M3C0; KEGG::128674
408290	Q8TCW9	PROKR1	Prokineticin receptor 1	10887	Q8NFJ7; Q53QT9; A5JUU2; KEGG::10887
534265	Q9Y651	SOX21	Transcription factor SOX-21	11166	P35715; Q5TBS1; Q15504; KEGG::11166
102369	Q9BW91	NUDT9	ADP-ribose pyrophosphatase, mitochondrial	53343	Q96KB3; Q8NCB9; Q8NG26; Q8NG25; Q9BW91,Q9; Q8NBN1; KEGG::53343
187237	Q96K31	C8orf76	Uncharacterized protein C8orf76	84933	Q53HC1; KEGG::84933
564025	P31483	TIA1	Nucleolysin TIA-1 isoform p40	7072	Q53SS9; KEGG::7072
564026	O95411	TIAF1	TGFB1-induced anti-apoptotic factor 1	9220	Q6PEG2; A2RRE2; KEGG::9220
596920	Q8NEX5	WFDC9	Protein WFDC9	259240	Q5TGZ8; Q3MIX6; KEGG::259240
596923	Q96NZ8	WFIKKN1	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1	117166	Q96S20; Q8NBQ1; Q7LDW0; KEGG::117166
341065	P02686	MBP	Myelin basic protein	4155	Q6FI04; B7ZKS4; Q6PK23; Q6FH37; Q15340; Q59GX3; A8MY86; Q6AI64; A6NI84; A4FU54; A8MYL4; Q15339; Q15337; Q15338; B3KY66; B7ZKS2; Q65ZS4; KEGG::4155
596927	Q8TEU8	WFIKKN2	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2	124857	Q6UXZ9; KEGG::124857
323053	P01603	-	Ig kappa chain V-I region Ka	-	-
223726	O95886	DLGAP3	Disks large-associated protein 3	58512	Q9H3X7; Q5TDD5; KEGG::58512
59950	Q5RI15	COX20; FAM36A	Cytochrome c oxidase protein 20 homolog	116228	Q8WV86; B3KM21; KEGG::116228
323050	P01601	-	Ig kappa chain V-I region HK101	-	-
323057	P01607	-	Ig kappa chain V-I region Rei	-	-
137180	Q8WWZ4	ABCA10	ATP-binding cassette sub-family A member 10	10349	C9K035; C9JZH2; Q86TD2; Q7Z2I9; Q6PIQ6; Q7Z7P7; KEGG::10349
137184	Q86UQ4	ABCA13	ATP-binding cassette sub-family A member 13	154664	Q8N248; Q6ZTT7; Q86WI2; KEGG::154664
323056	P01606	-	Ig kappa chain V-I region OU	-	-
2662346	Q4KMQ2	-	-	-	B3KX12; B9EGG0; E9PCT2; E9PB30; B4DZA5
323054	P01604	-	Ig kappa chain V-I region Kue	-	-
2736134	P62495; Q96CG1	ETF1	-	-	-
447976	Q8N264	ARHGAP24	Rho GTPase-activating protein 24	83478	Q86WE4; Q4KMG1; Q9H0T6; Q6ZNV3; Q86TI5; KEGG::83478
331699	Q969R5	L3MBTL2	Lethal(3)malignant brain tumor-like protein 2	83746	Q9UGS4; Q96SC4; Q9BQI2; Q8TEN1; KEGG::83746
331695	Q9Y468	L3MBTL1	Lethal(3)malignant brain tumor-like protein 1	26013	Q8IUV7; Q9H1E6; Q9UJB9; Q9H1G5; Q5H8Y9; Q5H8Y8; Q9Y468,Q6; B4DRC9; E1P5W7; Q9UG06; Q9Y4C9; KEGG::26013
2738667	Q9NWJ6	APBB1IP	-	-	A6NNU4
2725956	Q5JVB6	FBXO18	-	-	-
59085	P10643	C7	Complement component C7	730	Q92489; Q6P3T5; D6R8Y6; P10643,Q0; Q05CI3; KEGG::730
533211	Q13424	SNTA1	Alpha-1-syntrophin	6640	Q16438; E1P5N1; A8K7H9; KEGG::6640
90023	Q5TF21	C6orf174; SOGA3	Protein SOGA3	387104	A5PLQ8; KEGG::387104
183411	Q9UFE4	CCDC39	Coiled-coil domain-containing protein 39	339829	B4E2H1; KEGG::339829
339445	Q9H8J5	MANSC1	MANSC domain-containing protein 1	54682	Q8NEC1; KEGG::54682
529187	Q9C0A6	SETD5	SET domain-containing protein 5	55209	Q8WUB6; Q9NVI9; Q9H6V7; Q9H7S3; Q9H3X4; Q6AI17; KEGG::55209
339448	A6NHS7	MANSC4	MANSC domain-containing protein 4	100287284	KEGG::100287284
359349	P21757	MSR1	Macrophage scavenger receptor types I and II	4481	Q45F10; D3DSP3; P21759; O60505; KEGG::4481
257554	P25090	FPR2	N-formyl peptide receptor 2	2358	A8K3E2; KEGG::2358
230715	P0CJ87	DUX4L4	Double homeobox protein 4-like protein 4	-	-
63021	Q9H579	C20orf132	Uncharacterized protein C20orf132	140699	Q0P682; Q6PF12; Q5JYQ6; KEGG::140699
109279	Q9UL46	PSME2	Proteasome activator complex subunit 2	5721	Q15129; Q9UL46,Q8; Q86SZ7; KEGG::5721
109278	P30872	SSTR1	Somatostatin receptor type 1	6751	Q86SW9; P30872,Q8; KEGG::6751
191934	Q96FZ5	CMTM7	CKLF-like MARVEL transmembrane domain-containing protein 7	112616	Q5VLK1; KEGG::112616
95794	Q9ULZ9	MMP17	Matrix metalloproteinase-17	4326	Q9ULZ9,Q8; Q14850; Q8IWC3; KEGG::4326
218094	Q5TDH0	DDI2	Protein DDI1 homolog 2	84301	Q9BRT1; Q7RTZ0; A8KAE1; KEGG::84301
314280	Q5VZ66	JAKMIP3	Janus kinase and microtubule-interacting protein 3	282973	Q69YM6; A6PW00; Q6ZT29; KEGG::282973
104548	Q9NVD7; Q9NVD7-1	PARVA	Alpha-parvin	55742	Q96C85; Q9HA48; J3KNQ4; KEGG::55742
485118	Q9BY78	RNF26	RING finger protein 26	79102	Q542Y8; KEGG::79102
485110	Q9UBS8	RNF14	E3 ubiquitin-protein ligase RNF14	9604	Q9UBS8,B3; Q6IBV0; A0AV26; O94793; A6NMR2; B7ZLV2; D3DQE4; A8MTW5; B3KN72; KEGG::9604
485116	Q96BH1	RNF25	E3 ubiquitin-protein ligase RNF25	64320	Q9H874; A8K0D6; Q53HQ5; KEGG::64320
485114	Q9Y225	RNF24	RING finger protein 24	11237	D3DVZ3; D3DVZ2; Q9UMH1; KEGG::11237
107280	O60281	Nbla00365; ZNF292	Zinc finger protein 292	23036	Q5W0B2; Q6ZS01; Q7Z3L7; Q9H8G3; Q6ZW83,O6; Q6P495; Q3LIB3; Q9H8J4; Q6ZW83; KEGG::23036
366173	Q8N9H8	EXD3	Probable exonuclease mut-7 homolog	54932	Q96NP1; Q2TAK4; C9JIQ9; Q8N3X4; Q8NHD1; Q8N9H8,B8; B8A4U7; KEGG::54932
366170	Q9NX53	EXD3	Probable exonuclease mut-7 homolog, isoform 5	-	Q8IXT8; Q6P1M1
92538	Q6UXI9	NPNT	Nephronectin	255743	E9PCK8; B4DYK3; B4DIT4; B4E2H7; A8K1W4; E9PF04; B4E3H2; D6RCA1; E9PCQ1; A6NFT9; E9PE64; KEGG::255743
368356	P52179	MYOM1	Myomesin-1	8736	Q14BD6; Q6ZUU0; Q6H969; KEGG::8736
281079	P78417	GSTO1	Glutathione S-transferase omega-1	9446	D3DRA3; Q5TA03; F5H7H0; Q7Z3T2; KEGG::9446
413037	Q6S5H4	POTEB	POTE ankyrin domain family member B	339010	Q6S5H7; Q6NXN7; KEGG::339010
579652	P17643	TYRP1	5,6-dihydroxyindole-2-carboxylic acid oxidase	7306	Q13721; P78469; Q15679; P78468; KEGG::7306
320292	Q8IX03	WWC1	Protein KIBRA	23286	Q8WVM4; B4DK05; Q9BT29; Q7Z4G8; O94946; Q6MZX4; Q8IX03,B4; Q6Y2F8; KEGG::23286
185995	Q52M75	C5orf27	Putative uncharacterized protein C5orf27	-	B2RBN1; Q86YS4
404080	Q99471	PFDN5	Prefoldin subunit 5	5204	Q9C083; A8K9A8; Q9C083,Q9; Q9C084; Q54AA8; KEGG::5204
69176	P28562	DUSP1	Dual specificity protein phosphatase 1	1843	B4DU40; P28562,B4; Q2V508; D3DQL9; KEGG::1843
257049	Q6PIV2	FOXR1	Forkhead box protein R1	283150	Q8IXX2; B0YJ15; Q86UT9; KEGG::283150
349356	O94851	MICAL2	Protein-methionine sulfoxide oxidase MICAL2	9645	G3XAC8; B7Z849; B4DGZ0; Q5KTR3; D3DQW5; Q7Z3A8; Q5KTR4; KEGG::9645
175243	O95972	BMP15	Bone morphogenetic protein 15	9210	Q5JST1; Q17RM6; Q9UMS1; KEGG::9210
349352	Q8TDZ2	MICAL1	Protein-methionine sulfoxide oxidase MICAL1	64780	E1P5F0; Q9UFF7; Q96G47; B7Z3R5; Q9HAA1; Q8IVS9; Q7Z633; Q9H7I0; Q9H6X6; KEGG::64780
257043	Q8IVH2	FOXP4	Forkhead box protein P4	116113	Q8IVH2,Q8; Q96E19; Q5W098; Q7Z7F8; Q8IW55; KEGG::116113
634704	Q96TA2	YME1L1	ATP-dependent zinc metalloprotease YME1L1	10730	D3DRV9; D3DRV8; Q9H1Q0; Q5T8D9; B4DNM1; Q9UMR9; KEGG::10730
379011	O15130	NPFF	FMRFamide-related peptides; Neuropeptide SF; Neuropeptide FF; Neuropeptide AF	8620	KEGG::8620
151319	Q3SXY8	ARL13B	ADP-ribosylation factor-like protein 13B	200894	D3DN29; G3V1S8; Q8TCL5; Q504W8; KEGG::200894
171620	P82251	SLC7A9	B(0,+)-type amino acid transporter 1	11136	B2R9A6; KEGG::11136
368359	P54296	MYOM2	Myomesin-2	9172	Q7Z3Y2; KEGG::9172
2727148	Q5T6H7	XPNPEP1	-	-	-
151316	Q5H913	ARL13A	ADP-ribosylation factor-like protein 13A	392509	B2RTT6; B4DX50; KEGG::392509
403890	O43933	PEX1	Peroxisome biogenesis factor 1	5189	Q99994; A4D1G3; A8KA90; Q96S72; Q96S73; Q96S71; KEGG::5189
226505	Q8NFT8	DNER	Delta and Notch-like epidermal growth factor-related receptor	92737	Q9NTF1; Q53TP7; Q53TQ5; A6NP39; Q9UDM2; Q8IYT0; Q8TB42; Q53R88; KEGG::92737
89490	Q9HBL0	TNS1	Tensin-1	7145	Q86VB0; A1L0S7; A1L0S7,Q5; Q4ZG71; Q59G71; KEGG::7145
89497	A8MYP8	ODF3B	Outer dense fiber protein 3B	440836	A1L1A8; A0PK18; KEGG::440836
89499	Q7Z406	MYH14	Myosin-14	79784	Q6XYE4; Q76B62; Q9BT27; B3KWH4,Q7; B3KWH4; Q96I22; Q9BW35; C3TTN4; Q9H882; Q5CZ75; B0I1S2; A1L2Z2; Q8WV23; KEGG::79784
127534	Q70YC4; Q70YC5	ZNF365	Protein ZNF365; Talanin	22891	A8K0F0; O94930; Q05D75; Q70YC4,Q7; Q6P9D4; Q5HYE6; Q68SG8; Q70YC6; Q70YC7; Q6NSK2; KEGG::22891
580769	A0AVT1	UBA6	Ubiquitin-like modifier-activating enzyme 6	55236	Q4W5K0; Q86TC7; Q9H3T7; Q8N5T3; Q9NVC9; B2RAV3; Q86T78; A6N8M7; Q8N9E4; Q6UV21; KEGG::55236
154218	Q96BM9	ARL8A	ADP-ribosylation factor-like protein 8A	127829	B3KXD0; KEGG::127829
48126	O95394	PGM3	Phosphoacetylglucosamine mutase	5238	D6RF12; Q9NS94; E9PF86; B4DX94; E1P547; Q9H8G5; Q96J46; Q9UIY2; Q9NTT6; B2RB65; Q9UFV5; Q5JWR4; KEGG::5238
192145	Q86T13	CLEC14A	C-type lectin domain family 14 member A	161198	Q695G9; Q6PWT6; Q8N5V5; KEGG::161198
192142	Q9Y240	CLEC11A	C-type lectin domain family 11 member A	6320	B2RAD4; KEGG::6320
192140	Q8IUN9	CLEC10A	C-type lectin domain family 10 member A	10462	Q14538; Q6PIW3; A8K8J8; KEGG::10462
192148	Q8NC01	CLEC1A	C-type lectin domain family 1 member A	51267	Q8IUW7; Q9NZH3; KEGG::51267
186718	P11597	CETP	Cholesteryl ester transfer protein	1071	Q13988; Q53YZ1; Q13987; KEGG::1071
305516	A6NNB3	IFITM5	Interferon-induced transmembrane protein 5	387733	KEGG::387733
305518	P01566	IFNA10	Interferon alpha-10	3446	Q5VV13; KEGG::3446
305519	P01570	IFNA14	Interferon alpha-14	3448	Q5VZ56; Q7M4S1; KEGG::3448
88213	Q13303	KCNAB2	Voltage-gated potassium channel subunit beta-2	8514	Q5TG83; B2R776; A8K1A4; Q5TG82; Q6ZNE4; B0AZR7; O43659; A0AVM9; Q99411; KEGG::8514
418614	O94906	PRPF6	Pre-mRNA-processing factor 6	24148	B3KMC6; B2RAR5; Q9NTE6; Q9H3Z1; O95109; Q9H4U8; Q9H4T9; Q5VXS5; KEGG::24148
107674	O95292	VAPB	Vesicle-associated membrane protein-associated protein B/C	9217	Q9P0H0; Q53XM7; A2A2F2; O95293; O95292,Q6; KEGG::9217
51925	O75947	ATP5H	ATP synthase subunit d, mitochondrial	10476	O75947,A0; B2R5L6; A0PJH2; Q9H3J4; KEGG::10476
161804	Q9H0Y0	ATG10	Ubiquitin-like-conjugating enzyme ATG10	83734	B2RE09; Q9H842; Q6PIX1; KEGG::83734
350898	P39900	MMP12	Macrophage metalloelastase	4321	Q2M1L9; B7ZLF6; B2R9X8; KEGG::4321
88218	Q14012	CAMK1	Calcium/calmodulin-dependent protein kinase type 1	8536	Q14012,B0; B0YIY3; Q3KPF6; KEGG::8536
227767	Q9Y3R5	DOPEY2	Protein dopey-2	9980	Q6PJQ7; D3DSG5; Q9UEZ3; KEGG::9980
335528	Q96M69	LRGUK	Leucine-rich repeat and guanylate kinase domain-containing protein	136332	Q2M3I1; KEGG::136332
398694	Q9Y5F9	PCDHGB6	Protocadherin gamma-B6	56100	Q9Y5C5; KEGG::56100
264563	P60520	GABARAPL2	Gamma-aminobutyric acid receptor-associated protein-like 2	11345	P60520,Q6; Q6FG91; Q9UQF7; O08765; Q9DCP8; KEGG::11345
343602	Q93074	MED12	Mediator of RNA polymerase II transcription subunit 12	9968	O15410; O75557; Q9UND7; Q9UHV6; KEGG::9968
264566	Q9BY60	GABARAPL3	Gamma-aminobutyric acid receptor-associated protein-like 3	-	-
264568	O00591	GABRP	Gamma-aminobutyric acid receptor subunit pi	2568	A8KA36; D3DQL2; Q32MJ1; KEGG::2568
92838	Q6IPR1	LYRM5	LYR motif-containing protein 5	144363	J3KPI7; KEGG::144363
567116	Q9UNG2	TNFSF18	Tumor necrosis factor ligand superfamily member 18	8995	O95852; Q6ISV1; Q6ISV1,Q9; A9IQG8; KEGG::8995
533216	A6NMZ2	SNTN	Sentan	132203	B7FF65; KEGG::132203
566959	Q9NZR1	TMOD2	Tropomodulin-2	29767	B4DEW6; Q9NZR1,B4; KEGG::29767
393446	P32242	OTX1	Homeobox protein OTX1	5013	P32242,B3; B3KTJ4; A6NHA2; Q53TG6; KEGG::5013
566956	P28289	TMOD1	Tropomodulin-1	7111	Q9BUF1; B2RB77; P28289,B2; KEGG::7111
2725815	Q5JSB6	TFDP1	-	-	-
577028	O60636	TSPAN2	Tetraspanin-2	10100	Q8WU05; Q5TET2; KEGG::10100
542407	Q96L08	SUSD3	Sushi domain-containing protein 3	203328	Q49AA6; Q6UXV7; KEGG::203328
109280	Q8N0Z6	TTC5	Tetratricopeptide repeat protein 5	91875	Q86T04; A8MQ18; Q96HF9; KEGG::91875
533171	O75971	SNAPC5	snRNA-activating protein complex subunit 5	10302	Q96CF3; A8K7N6; KEGG::10302
109281	P54829	PTPN5	Tyrosine-protein phosphatase non-receptor type 5	84867	B7Z386; Q8N2A1; Q86TL3; P54829,B3; B3KXG7; D3DQY7; Q6P1Z2; Q8NDP8; KEGG::84867
594088	Q9GZP7	VN1R1	Vomeronasal type-1 receptor 1	57191	Q7Z5H9; Q7Z5H8; B3KSV5; KEGG::57191
594089	Q8NFZ6	VN1R2	Vomeronasal type-1 receptor 2	317701	A1L411; Q8TDU4; KEGG::317701
92187	Q5TAH2	SLC9C2	Sodium/hydrogen exchanger 11	284525	Q86UF3; B3KXW8; KEGG::284525
92182	Q9HCE3	ZNF532	Zinc finger protein 532	55205	B3KXW2; Q96QR7; Q7L7Z7; Q9NVJ6; Q4G0V6; KEGG::55205
92180	Q5T5J6	SWT1	Transcriptional protein SWT1	54823	Q9BZQ7; B3KXU9; Q8NEK9; Q9NXQ0; KEGG::54823
196127	P02458	COL2A1	Collagen alpha-1(II) chain; Collagen alpha-1(II) chain; Chondrocalcin	1280	Q2V4X7; Q6LBY2; Q6LBY3; Q6LBY1; Q9UE39; Q9UE38; Q14056; Q14058; Q12985; Q16672; Q1JQ82; Q99227; Q14045; Q14044; A6NGA0; Q14046; Q14047; Q96IT5; Q14009; Q9UE42; Q9UE43; Q9UE40; Q9UE41; KEGG::1280
55877	Q86V15	CASZ1	Zinc finger protein castor homolog 1	54897	Q078S9; Q5T9S1; Q9BT16; Q6ZNM8; Q8WX50; B3KRV8; Q8WX49; Q2EN02; Q9NXC6; KEGG::54897
55874	Q9NQ75	CASS4	Cas scaffolding protein family member 4	57091	Q96K09; B4DII4; Q9BYL5; E1P5Z8; Q5QPD6; KEGG::57091
56780	Q5T9S5	CCDC18	Coiled-coil domain-containing protein 18	343099	E9PFB9; Q6ZU17; Q6PH87; KEGG::343099
420578	P28070	PSMB4	Proteasome subunit beta type-4	5692	P31148; B2R9L3; Q6IBI4; Q5SZS5; Q969L6; KEGG::5692
62925	P21291	CSRP1	Cysteine and glycine-rich protein 1	1465	A8K268; Q5U0J2; B4DY28; P21291,B4; KEGG::1465
392788	P39656	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	1650	Q5VWA5; Q9BUI2; B2RDQ4; O43244; Q8NI93; KEGG::1650
86731	Q9UHD0	IL19	Interleukin-19	29949	Q5VUT3; Q96QR4; Q9UHD0,Q5; Q9NUA0; KEGG::29949
149997	Q9UJX4	ANAPC5	Anaphase-promoting complex subunit 5	51433	Q8N4H7; E9PFB2; Q9BQD4; KEGG::51433
57433	Q00534	CDK6	Cyclin-dependent kinase 6	1021	Q00534,A4; A4D1G0; KEGG::1021
124446	Q5TFQ8; O00241	SIRPB1	Signal-regulatory protein beta-1 isoform 3; Signal-regulatory protein beta-1	10326; 100653194	O00241,Q5; A6NLM2; Q8TB12; Q9Y4V0; Q7Z3B9; B2R8V0; Q9H1U5; Q5TFQ9; Q5TFR0; KEGG::100653194; KEGG::10326
57438	O14519	CDK2AP1	Cyclin-dependent kinase 2-associated protein 1	8099	F5GYA4; KEGG::8099
57439	Q6IAV4; O75956	CDK2AP2; DOC-1R	Cyclin-dependent kinase 2-associated protein 2	10263	O75956,Q6; KEGG::10263
58965	Q15021; B3KMS0	NCAPD2	Condensin complex subunit 1	9918	Q15021,B3; B3KY03; D3DUR4; Q8N6U3; KEGG::9918
2738182	Q9HBS4	TIE1	-	-	-
136261	P08697	SERPINF2	Alpha-2-antiplasmin	5345	Q8N5U7; Q9UCG3; Q9UCG2; P08697,B4; B4E1B7; KEGG::5345
437299	Q6NUR6	RNF216P1	Putative protein RNF216-like	-	B7Z8S6
217635	P06132	UROD	Uroporphyrinogen decarboxylase	7389	Q53ZP6; A8K762; Q16883; Q6IB28; Q53YB8; Q9BUZ0; Q16863; KEGG::7389
71570	Q9H4G0	EPB41L1	Band 4.1-like protein 1	2036	Q4VXM7; B7Z653; Q4VXM8; Q4VXN4; Q96CV5; Q8IUU7; Q4VXM6; E7EN13; Q96L65; Q6ZT61; O15046; KEGG::2036
